alignment,coherence,latency_per_token,method,method_family,pareto_frontier_alignment_vs_ppl_degradation,perplexity,ppl_degradation,ppl_model_family,target_probability
0.0,0.5916666666666667,0.04562399265705608,taro,v2_autoregressive_sentiment_guide,0,4.370080097031049,-0.17915932017047614,v2_gpt2_medium_conditional,0.0015805371513124555
0.0,0.5916666666666667,0.04545047714054817,taro_same_average,v2_autoregressive_sentiment_guide,0,4.370080097031049,-0.17915932017047614,v2_gpt2_medium_conditional,0.0015805379953235388
0.0,0.6189839572192514,0.036081876438402105,v1_base,v1_rad_scalar_reward,0,10.84873628616333,0.0,v1_gpt2_large_full_sequence,0.003286775929154828
1.0,0.5654761904761905,0.03673299446927558,v1_fixed,v1_rad_scalar_reward,1,17.42023229598999,0.5485620232707155,v1_gpt2_large_full_sequence,0.9987914264202118
0.0,0.6525735294117647,0.023277791138752946,v1_heuristic,v1_rad_scalar_reward,0,9.885297060012817,-0.09844740331663399,v1_gpt2_large_full_sequence,0.0033764289983082563
0.0,0.5850202429149798,0.03579508623442962,v1_router,v1_rad_scalar_reward,0,10.35008430480957,-0.012957884302002926,v1_gpt2_large_full_sequence,0.0012987098307348788
0.5,0.5563725490196079,0.01466566774979583,v2_base,v2_autoregressive_sentiment_guide,1,5.578625448755924,0.0,v2_gpt2_medium_conditional,0.49994844116736203
0.0,0.6166666666666667,0.04549464695446659,v2_fixed,v2_autoregressive_sentiment_guide,1,3.7230946725225778,-0.2746388136503126,v2_gpt2_medium_conditional,0.007323808153159916
0.0,0.6166666666666667,0.04669074293997255,v2_heuristic,v2_autoregressive_sentiment_guide,0,3.8476206154162487,-0.24398694741243232,v2_gpt2_medium_conditional,0.007466631126590073
0.0,0.5916666666666667,0.05381347231377731,v2_history,v2_autoregressive_sentiment_guide,0,4.370080097031049,-0.17915932017047614,v2_gpt2_medium_conditional,0.0015805379953235388
0.0,0.5916666666666667,0.04538729390696972,v2_same_average,v2_autoregressive_sentiment_guide,0,4.370080097031049,-0.17915932017047614,v2_gpt2_medium_conditional,0.001580538577400148
0.0,0.5916666666666667,0.047221832046489,v2_state,v2_autoregressive_sentiment_guide,0,4.370080097031049,-0.17915932017047614,v2_gpt2_medium_conditional,0.0015805382281541824
