state_id,prompt_id,alpha_helpfulness,alpha_harmlessness,normalized_generation_position,generated_token_count,prompt_token_count,base_entropy,base_top1_probability,base_top1_top2_margin,base_topk_mass,parm_entropy,parm_top1_probability,parm_top1_top2_margin,parm_topk_mass,top1_disagreement,topk_overlap,js_divergence,symmetric_kl,logprob_correlation,candidate_rank_disagreement
f60_a0_p00_s00,pku_round0_00058,1.0,0.0,0.0,0.0,8.0,3.3633134365081787,0.474105566740036,0.41792237758636475,0.6706339120864868,5.296966075897217,0.05507630482316017,0.006849881261587143,0.34702301025390625,1.0,0.6,0.2520792782306671,2.1245412826538086,0.9467676877975464,0.38461539149284363
f60_a0_p00_s01,pku_round0_00058,1.0,0.0,0.25396825396825395,16.0,8.0,0.00018071525846607983,0.9999881982803345,0.9999827146530151,0.9999976754188538,0.0014104816364124417,0.9998806715011597,0.9997984766960144,0.9999872446060181,0.0,0.6,2.9019409339525737e-05,0.00015160754264798015,0.860443115234375,0.3076923191547394
f60_a0_p00_s02,pku_round0_00058,1.0,0.0,0.5079365079365079,32.0,8.0,1.7149536609649658,0.3913278877735138,0.05133634805679321,0.9628933072090149,1.661126971244812,0.518815279006958,0.32494816184043884,0.9639686942100525,1.0,0.9,0.03090495988726616,0.1321849226951599,0.952009379863739,0.1090909093618393
f60_a0_p00_s03,pku_round0_00058,1.0,0.0,0.746031746031746,47.0,8.0,2.0420496463775635,0.3956260681152344,0.18714578449726105,0.925484299659729,1.7643523216247559,0.5224000811576843,0.3302198350429535,0.9375777244567871,0.0,0.9,0.02124601975083351,0.09253531694412231,0.9346157908439636,0.1454545557498932
f60_a0_p00_s04,pku_round0_00058,1.0,0.0,1.0,63.0,8.0,0.004810177721083164,0.9995458722114563,0.9992545247077942,0.9999573826789856,0.004405451472848654,0.9996265172958374,0.9995150566101074,0.9999254941940308,0.0,0.6,6.948997179279104e-05,0.0003637277113739401,0.8648261427879333,0.2967033088207245
f60_a1_p00_s00,pku_round0_00058,0.75,0.25,0.0,0.0,8.0,3.3633134365081787,0.474105566740036,0.41792237758636475,0.6706339120864868,5.33481502532959,0.052535172551870346,0.005442947149276733,0.3413752019405365,1.0,0.5,0.2537839114665985,2.213839054107666,0.9497717022895813,0.380952388048172
f60_a1_p00_s01,pku_round0_00058,0.75,0.25,0.25396825396825395,16.0,8.0,0.00018071525846607983,0.9999881982803345,0.9999827146530151,0.9999976754188538,0.001548510161228478,0.9998689889907837,0.9997801184654236,0.9999849796295166,0.0,0.6,3.25111104757525e-05,0.0001717338163871318,0.8759620189666748,0.3076923191547394
f60_a1_p00_s02,pku_round0_00058,0.75,0.25,0.5079365079365079,32.0,8.0,1.7149536609649658,0.3913278877735138,0.05133634805679321,0.9628933072090149,1.7030465602874756,0.5045980215072632,0.3100581467151642,0.961548924446106,1.0,0.9,0.02963922545313835,0.12662911415100098,0.9543519616127014,0.1090909093618393
f60_a1_p00_s03,pku_round0_00058,0.75,0.25,0.746031746031746,47.0,8.0,2.0420496463775635,0.3956260681152344,0.18714578449726105,0.925484299659729,1.818530797958374,0.5025612711906433,0.31181055307388306,0.9338056445121765,0.0,0.9,0.01839335262775421,0.08085110783576965,0.9368953108787537,0.16363635659217834
f60_a1_p00_s04,pku_round0_00058,0.75,0.25,1.0,63.0,8.0,0.004810177721083164,0.9995458722114563,0.9992545247077942,0.9999573826789856,0.004927049390971661,0.9995779395103455,0.999442458152771,0.9999163150787354,0.0,0.6,6.464402395067737e-05,0.0003386328462511301,0.8749095797538757,0.2747252583503723
f60_a2_p00_s00,pku_round0_00058,0.5,0.5,0.0,0.0,8.0,3.3633134365081787,0.474105566740036,0.41792237758636475,0.6706339120864868,5.372097015380859,0.05018139258027077,0.004490714520215988,0.3354721963405609,1.0,0.5,0.2549317181110382,2.302227735519409,0.9524431824684143,0.380952388048172
f60_a2_p00_s01,pku_round0_00058,0.5,0.5,0.25396825396825395,16.0,8.0,0.00018071525846607983,0.9999881982803345,0.9999827146530151,0.9999976754188538,0.0016932243015617132,0.99985671043396,0.9997621178627014,0.999981701374054,0.0,0.6,3.604802623158321e-05,0.0001926006661960855,0.8886428475379944,0.3076923191547394
f60_a2_p00_s02,pku_round0_00058,0.5,0.5,0.5079365079365079,32.0,8.0,1.9000760316848755,0.38036423921585083,0.02582576870918274,0.9275690913200378,2.096208095550537,0.5473108291625977,0.3551866412162781,0.8887888789176941,0.0,0.9,0.03844275698065758,0.15881997346878052,0.9759483933448792,0.16363635659217834
f60_a2_p00_s03,pku_round0_00058,0.5,0.5,0.746031746031746,47.0,8.0,0.9175643920898438,0.8177158832550049,0.757547914981842,0.9752546548843384,1.2322337627410889,0.7807822823524475,0.743105411529541,0.9407942295074463,0.0,0.9,0.009853203780949116,0.04286675155162811,0.9612789750099182,0.05454545468091965
f60_a2_p00_s04,pku_round0_00058,0.5,0.5,1.0,63.0,8.0,0.4418812096118927,0.8881335854530334,0.7988116145133972,0.9986159801483154,0.4613837003707886,0.908042848110199,0.8681462407112122,0.994347333908081,0.0,0.9,0.010435017757117748,0.04376501590013504,0.937142550945282,0.1090909093618393
f60_a3_p00_s00,pku_round0_00058,0.25,0.75,0.0,0.0,8.0,3.3633134365081787,0.474105566740036,0.41792237758636475,0.6706339120864868,5.4072041511535645,0.04763749614357948,0.002181481570005417,0.33027809858322144,1.0,0.5,0.2555026412010193,2.370232582092285,0.9549568891525269,0.380952388048172
f60_a3_p00_s01,pku_round0_00058,0.25,0.75,0.25396825396825395,16.0,8.0,2.058832883834839,0.30390605330467224,0.009350210428237915,0.9299834966659546,2.8659725189208984,0.35349804162979126,0.07603424787521362,0.7803760170936584,1.0,0.8,0.13765917718410492,0.8440448045730591,0.9614517688751221,0.27272728085517883
f60_a3_p00_s02,pku_round0_00058,0.25,0.75,0.5079365079365079,32.0,8.0,0.8695072531700134,0.7171211838722229,0.4806397259235382,0.9864636659622192,1.427791714668274,0.558490514755249,0.37141960859298706,0.9756151437759399,0.0,0.8,0.053043581545352936,0.2479916363954544,0.7739402651786804,0.12121212482452393
f60_a3_p00_s03,pku_round0_00058,0.25,0.75,0.746031746031746,47.0,8.0,0.0005356557085178792,0.9999614953994751,0.9999538064002991,0.999995768070221,0.0011645335471257567,0.99991774559021,0.9999070763587952,0.9999712705612183,0.0,0.7,1.3451835911837406e-05,7.840298349037766e-05,0.9243776202201843,0.37179484963417053
f60_a3_p00_s04,pku_round0_00058,0.25,0.75,1.0,63.0,8.0,3.25827693939209,0.22614185512065887,0.03119538724422455,0.731339156627655,3.84498929977417,0.14373287558555603,0.029139019548892975,0.5924451351165771,1.0,0.7,0.06417588889598846,0.29567259550094604,0.9500063061714172,0.3205128014087677
