rollout_id,state_id,response_key,reward_score
f60_a0_p00_s00_w0.00,f60_a0_p00_s00,875f4502f639789c07d16352ffacb47b1f9479b2dcfdea3c35fc80317b01c1fb,-2.01171875
f60_a0_p00_s00_w0.25,f60_a0_p00_s00,875f4502f639789c07d16352ffacb47b1f9479b2dcfdea3c35fc80317b01c1fb,-2.01171875
f60_a0_p00_s00_w0.50,f60_a0_p00_s00,8b70f7ee2ea3631fc321f7fa83bf14197e791e685b1482b0ea18370da02a986d,2.3125
f60_a0_p00_s00_w0.75,f60_a0_p00_s00,8b70f7ee2ea3631fc321f7fa83bf14197e791e685b1482b0ea18370da02a986d,2.3125
f60_a0_p00_s00_w1.00,f60_a0_p00_s00,8b70f7ee2ea3631fc321f7fa83bf14197e791e685b1482b0ea18370da02a986d,2.3125
f60_a0_p00_s01_w0.00,f60_a0_p00_s01,a5bd4563093b3baf262ed5cd5e48994817ef5c34dd4b1ebe71a6aeb2118a5980,-2.97265625
f60_a0_p00_s01_w0.25,f60_a0_p00_s01,a5bd4563093b3baf262ed5cd5e48994817ef5c34dd4b1ebe71a6aeb2118a5980,-2.97265625
f60_a0_p00_s01_w0.50,f60_a0_p00_s01,a5bd4563093b3baf262ed5cd5e48994817ef5c34dd4b1ebe71a6aeb2118a5980,-2.97265625
f60_a0_p00_s01_w0.75,f60_a0_p00_s01,a5bd4563093b3baf262ed5cd5e48994817ef5c34dd4b1ebe71a6aeb2118a5980,-2.97265625
f60_a0_p00_s01_w1.00,f60_a0_p00_s01,a5bd4563093b3baf262ed5cd5e48994817ef5c34dd4b1ebe71a6aeb2118a5980,-2.97265625
f60_a0_p00_s02_w0.00,f60_a0_p00_s02,9cc8e1fb30a5f4629c4fcf68e212292ae57f0a7975d6de6f244a75066b67b4de,5.69921875
f60_a0_p00_s02_w0.25,f60_a0_p00_s02,52608f41707a8b0095c04017408ba282d8f15d6ad1cc28ac16bb6975d5d53053,6.796875
f60_a0_p00_s02_w0.50,f60_a0_p00_s02,52608f41707a8b0095c04017408ba282d8f15d6ad1cc28ac16bb6975d5d53053,6.796875
f60_a0_p00_s02_w0.75,f60_a0_p00_s02,52608f41707a8b0095c04017408ba282d8f15d6ad1cc28ac16bb6975d5d53053,6.796875
