case_id,sample_id,alpha,prefix_type,response_index,position,lambda,loss,gradient,objective_weight,weighted_gradient,base_guide_js
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,0,0.01,10.260193824768066,0.7682943344116211,0.0,0.0,0.30157041549682617
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,0,0.1,10.350591659545898,1.1404929161071777,0.0,0.0,0.30157041549682617
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,0,0.5,10.836288452148438,1.1346960067749023,0.0,0.0,0.30157041549682617
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,0,1.0,11.311843872070312,0.7819652557373047,0.0,0.0,0.30157041549682617
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,0,2.0,11.873496055603027,0.4008939266204834,0.0,0.0,0.30157041549682617
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,1,0.01,0.2231506109237671,0.140968918800354,0.0,0.0,0.14089079201221466
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,1,0.1,0.2432694286108017,0.23868697881698608,0.0,0.0,0.14089079201221466
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,1,0.5,0.3294505476951599,0.19130519032478333,0.0,0.0,0.14089079201221466
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,1,1.0,0.4128415286540985,0.14524203538894653,0.0,0.0,0.14089079201221466
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,1,2.0,0.528109073638916,0.09139373898506165,0.0,0.0,0.14089079201221466
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,2,0.01,0.07368718832731247,-0.16485518217086792,0.0,-0.0,0.0208553746342659
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,2,0.1,0.06814009696245193,-0.027285635471343994,0.0,-0.0,0.0208553746342659
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,2,0.5,0.06574974954128265,0.003307029604911804,0.0,0.0,0.0208553746342659
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,2,1.0,0.06887289136648178,0.0076418668031692505,0.0,0.0,0.0208553746342659
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,2,2.0,0.07620381563901901,0.006503194570541382,0.0,0.0,0.0208553746342659
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,3,0.01,0.025701463222503662,-0.1939055621623993,0.0,-0.0,0.011099647730588913
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,3,0.1,0.018593071028590202,-0.04229849576950073,0.0,-0.0,0.011099647730588913
f60_a0_p00,pku_round0_00058,"1.00,0.00",teacher_forced,0,3,0.5,0.01235545426607132,-0.004025496542453766,0.0,-0.0,0.011099647730588913
