batch,cosine_similarity,loss_help,loss_safe,norm_help,norm_safe,sample_ids,cancellation_0.0,cancellation_0.25,cancellation_0.5,cancellation_0.75,cancellation_1.0
1,0.9999999938700569,8.092484474182129,8.092484474182129,59.86837387084961,59.86837387084961,['pku_round0_06406'],1.0,1.0,1.0,1.0,1.0
2,0.0,41.47986602783203,9.672150524278954e-19,90.2648696899414,0.0,['pku_round0_01626'],0.0,0.9999999403953552,0.9999999403953552,0.9999998807907104,0.9999999403953552
3,1.0000001160516567,23.635581970214844,23.635581970214844,141.40707397460938,141.40707397460938,['pku_round0_09432'],1.0,1.0,1.0,1.0,1.0
4,-0.9999974269728829,1.694482445716858,0.2029663324356079,53.69528579711914,12.081829071044922,['pku_round0_02685'],1.0,0.19401751458644867,0.6326439380645752,0.8604609370231628,1.0
5,-0.98654661498972,8.165872573852539,0.00028422893956303596,93.41371154785156,0.026180345565080643,['pku_round0_05709'],1.0,0.9983310103416443,0.9994434118270874,0.9998145699501038,1.0
6,0.9999999882254892,0.0015469160862267017,0.0015469160862267017,0.16685675084590912,0.16685675084590912,['pku_round0_06077'],0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552
7,0.9999999723816575,0.000486248463857919,0.000486248463857919,0.07990464568138123,0.07990464568138123,['pku_round0_04764'],0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552
8,0.9999999866610909,8.694488525390625,8.694488525390625,135.86111450195312,135.86111450195312,['pku_round0_09977'],1.0,1.0,1.0,1.0,1.0
9,1.0000001768580598,65.57119750976562,65.57119750976562,133.92587280273438,133.92587280273438,['pku_round0_03375'],1.0,1.0,1.0,1.0,1.0
10,0.9999999309423193,2.8865320682525635,2.8865320682525635,89.64643859863281,89.64643859863281,['pku_round0_02596'],1.0,1.0,1.0,1.0,1.0
11,0.9999998391894513,52.210723876953125,52.210723876953125,162.7345733642578,162.7345733642578,['pku_round0_06590'],1.0,1.0,1.0,1.0,1.0
12,0.0,7.058732972317714e-15,32.584510803222656,0.0,151.7706298828125,['pku_round0_09089'],1.0,0.9999998211860657,1.0,1.0,0.0
13,0.9999999119167253,2.5945522785186768,2.5945522785186768,161.98931884765625,161.98931884765625,['pku_round0_07398'],1.0,1.0,1.0,1.0,1.0
14,-0.09744504630396333,2.623945647428627e-06,12.85083293914795,0.00014962554269004613,194.41937255859375,['pku_round0_06387'],1.0,0.9999997615814209,0.9999991059303284,0.9999974966049194,1.0
15,0.0,123.41496276855469,0.0,112.6656265258789,0.0,['pku_round0_08425'],0.0,1.0,1.0,1.0000001192092896,1.0
16,-0.8952447604179263,1.7630669390200637e-05,10.945878982543945,0.006670425180345774,370.4820861816406,['pku_round0_06433'],1.0,0.9999886155128479,0.9999657273292542,0.9998974800109863,1.0
17,1.000000005849616,0.003784490516409278,0.003784490516409278,0.8378814458847046,0.8378814458847046,['pku_round0_06645'],0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552
18,1.000000058025895,8.867267608642578,8.867267608642578,286.6547546386719,286.6547546386719,['pku_round0_09984'],1.0,1.0,1.0,1.0,1.0
19,1.0000000265640985,8.164665814547334e-06,8.164665814547334e-06,0.0014334946172311902,0.0014334946172311902,['pku_round0_09304'],1.0,1.0,1.0,1.0,1.0
20,1.0000001217172367,0.00016519433120265603,0.00016519433120265603,0.026613038033246994,0.026613038033246994,['pku_round0_07251'],0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552
