harmlessness_normalized,harmlessness_raw,helpfulness_normalized,helpfulness_raw,method,n,pareto,requested_alpha
0.7962818309149813,6.28076171875,0.3735979598340644,-2.693603515625,parm_static,2,False,"[0.0, 1.0]"
0.7952247676653278,6.21484375,0.5846720178035132,3.412109375,parm_static,2,True,"[0.25, 0.75]"
0.8034933513070626,6.73046875,0.5448862163213275,2.26123046875,parm_static,2,True,"[0.5, 0.5]"
0.7009817063851005,0.337890625,0.5598628613637837,2.6944580078125,parm_static,2,False,"[0.75, 0.25]"
0.6901448505516147,-0.337890625,0.5741389927187088,3.107421875,parm_static,2,False,"[1.0, 0.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_taro,2,True,"[0.0, 1.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_taro,2,True,"[0.25, 0.75]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_taro,2,True,"[0.5, 0.5]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_taro,2,True,"[0.75, 0.25]"
0.7739582211019265,4.888671875,0.3662974256206383,-2.90478515625,parm_taro,2,True,"[1.0, 0.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha,2,True,"[0.0, 1.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha,2,True,"[0.25, 0.75]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha,2,True,"[0.5, 0.5]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha,2,True,"[0.75, 0.25]"
0.7739582211019265,4.888671875,0.3662974256206383,-2.90478515625,parm_v2_full_alpha,2,True,"[1.0, 0.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_fixed_alpha,2,True,"[0.0, 1.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_fixed_alpha,2,True,"[0.25, 0.75]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_fixed_alpha,2,True,"[0.5, 0.5]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_fixed_alpha,2,True,"[0.75, 0.25]"
0.7739582211019265,4.888671875,0.3662974256206383,-2.90478515625,parm_v2_full_alpha_fixed_alpha,2,True,"[1.0, 0.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_same_average,2,True,"[0.0, 1.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_same_average,2,True,"[0.25, 0.75]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_same_average,2,True,"[0.5, 0.5]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_same_average,2,True,"[0.75, 0.25]"
0.7739582211019265,4.888671875,0.3662974256206383,-2.90478515625,parm_v2_full_alpha_same_average,2,True,"[1.0, 0.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_shuffled_alpha,2,True,"[0.0, 1.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_shuffled_alpha,2,True,"[0.25, 0.75]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_shuffled_alpha,2,True,"[0.5, 0.5]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_full_alpha_shuffled_alpha,2,True,"[0.75, 0.25]"
0.7739582211019265,4.888671875,0.3662974256206383,-2.90478515625,parm_v2_full_alpha_shuffled_alpha,2,True,"[1.0, 0.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_no_alpha,2,True,"[0.0, 1.0]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_no_alpha,2,True,"[0.25, 0.75]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_no_alpha,2,True,"[0.5, 0.5]"
0.7738329395315973,4.880859375,0.3663649450122075,-2.90283203125,parm_v2_no_alpha,2,True,"[0.75, 0.25]"
0.7739582211019265,4.888671875,0.3662974256206383,-2.90478515625,parm_v2_no_alpha,2,True,"[1.0, 0.0]"
