alpha_helpfulness,alpha_harmlessness,mean_helpfulness,mean_harmlessness,mean_MIP,mean_PCS,records,d_helpfulness_d_alpha,d_harmlessness_d_alpha,helpfulness_monotonicity_violation,harmlessness_monotonicity_violation,low_sensitivity,nondominated,supported_positive_linear,support_weight_min,support_weight_max,turning_angle_radians,signed_cross
0.0,1.0,0.519372326232094,0.7234607436463452,0.7234607436463452,0.8002014053614459,20,,,False,False,False,False,False,,,,
0.05,0.95,0.4905134579651277,0.6851003098213233,0.6753709672285135,0.8168044462141214,20,-0.5771773653393253,-0.7672086765004371,True,False,False,False,False,,,2.018497176351997,0.0015460922998368257
0.1,0.9,0.5255495065682865,0.678097461544822,0.6628426660471685,0.8374909868461989,20,0.7007209720631757,-0.14005696553002656,False,False,False,False,False,,,1.1475570275664462,0.0020097209902740646
0.15,0.85,0.5614208713242445,0.7282891736678183,0.7032589283162822,0.8674892881108626,20,0.7174272951191597,1.003834242459927,False,True,False,True,True,0.0,0.8754115247677257,2.9823274697854742,0.000579440131258986
0.2,0.8,0.5197795525624961,0.6861773398212482,0.6528977823694978,0.9012759322262219,20,-0.8328263752349672,-0.8422366769314024,True,False,False,False,False,,,0.9551124013782077,0.0005506754811073542
0.25,0.75,0.5217663106594215,0.6749622902473308,0.6366632953503535,0.9198343792480994,20,0.0397351619385078,-0.22430099147834787,False,False,False,False,False,,,0.761964589262915,0.0003353881758333888
0.3,0.7,0.5561446528693041,0.6497117897474574,0.6216416486840114,0.9202190111566899,20,0.6875668441976536,-0.5050100099974687,False,False,False,False,False,,,0.8445474451749895,0.0002815636044086237
0.35,0.65,0.5647774290776312,0.6515612589294439,0.6211869184813095,0.9504022974773783,20,0.17265552416654065,0.036989383639731706,False,True,False,True,False,,,-1.7278407828222881,-0.00028592042749576204
0.4,0.6,0.5665472811291403,0.6188200950385992,0.5979109694748157,0.9619586397449946,20,0.035397041030182895,-0.6548232778168933,False,False,False,True,False,,,0.46771836274890494,0.00041209166016063103
0.45,0.55,0.5804400289388113,0.5946524971122598,0.5882568864342079,0.9704529920026703,20,0.27785495619341966,-0.4833519585267899,False,False,False,True,True,0.8754115247677257,1.0,-2.2946604257970247,-0.0006534748139905228
0.5,0.5,0.549789812134045,0.6009339975970994,0.5753619048655723,0.9755145110300196,20,-0.6130043360953265,0.1256300096967933,True,True,False,False,False,,,1.4451875316189264,0.0009198645294433806
0.55,0.45,0.5402501660977033,0.572877385674303,0.5549324149071733,0.9735717207419627,20,-0.19079292072683424,-0.5611322384559276,True,False,False,False,False,,,-0.06621018362061176,-1.6692133542039306e-05
0.6,0.4,0.5369822275457512,0.5650159671361384,0.5481957233819061,0.958767246021967,20,-0.06535877103904139,-0.15722837076329177,True,False,False,False,False,,,-0.16223113170147763,-1.5003190778377385e-05
0.65,0.35,0.5312219794524988,0.5557500247431102,0.5398067953042128,0.9342927452243366,20,-0.11520496186504738,-0.1853188478605648,True,False,False,False,False,,,-3.0755242745766047,-6.116374501096618e-06
0.7,0.3,0.535219127433399,0.5632416668963496,0.5436258892722841,0.9035069490637172,20,0.07994295961800246,0.14983284306478792,False,True,False,False,False,,,-2.4006789976170286,-9.394879267601767e-05
0.75,0.25,0.5392871707754467,0.5473622278571089,0.5413059350458622,0.8760059388302379,20,0.08136086684095593,-0.31758878078481406,False,False,False,False,False,,,0.3183987218587974,4.165844281699134e-05
0.8,0.2,0.5436624273491347,0.5405240073941182,0.5430347433581314,0.8453038382336626,20,0.08750513147375952,-0.13676440925981292,False,False,False,False,False,,,2.66721725400715,3.973680696618128e-05
0.85,0.15,0.5426479484908067,0.5511917331076595,0.5439295161833345,0.8062502492485029,20,-0.02028957716656124,0.21335451427082514,True,True,False,False,False,,,-1.0678240203455274,-0.00019926428277430128
0.9,0.1,0.5601911744052892,0.5631367435811987,0.5604857313228803,0.7683228567019023,20,0.3508645182896505,0.2389002094707846,False,True,False,False,False,,,-0.6673722966417746,-6.941489757035182e-05
0.95,0.05,0.5654627509020591,0.5627693162257172,0.565328079168242,0.7404494252740238,20,0.1054315299353982,-0.007348547109629076,False,False,False,False,False,,,-1.808903447125756,-7.346337371029346e-05
1.0,0.0,0.5611301159442993,0.5491355493346296,0.5611301159442993,0.7085649897925653,20,-0.08665269915519627,-0.2726753378217526,True,False,False,False,False,,,,
