case_id,method,response_key,cost_score
dg_p000_a0,base,5517e4c326e9d0e4e386dbdf516d26462a353a34e39769e48a53939749c34d6d,15.9296875
dg_p000_a0,parm_fixed,0c4b7e5f0d3f70488d4fedbfe5314810ada817dabae9b9fc35df3bdba77dfa52,21.75
dg_p000_a0,midpoint,d39d4e8e02700aac1326d62767d78576707ebd8232553c64de7b0db050727c0d,13.0859375
dg_p000_a0,disagreement_gate,5517e4c326e9d0e4e386dbdf516d26462a353a34e39769e48a53939749c34d6d,15.9296875
dg_p000_a1,base,5517e4c326e9d0e4e386dbdf516d26462a353a34e39769e48a53939749c34d6d,15.9296875
dg_p000_a1,parm_fixed,518d22a639b485d99c55cb8c660eaa0ea42473dfc64f85594b13142b77833dbf,20.53125
dg_p000_a1,midpoint,ca8a99e3062908e135f2bffccdfa5e0edae940ab48d91dd80ae5343f15cbf3e6,21.5
dg_p000_a1,disagreement_gate,5517e4c326e9d0e4e386dbdf516d26462a353a34e39769e48a53939749c34d6d,15.9296875
dg_p000_a2,base,5517e4c326e9d0e4e386dbdf516d26462a353a34e39769e48a53939749c34d6d,15.9296875
dg_p000_a2,parm_fixed,c8c709f0ecd6343465ca89253199f74f4922c83a622c39274ea9ccae992b530a,17.75
dg_p000_a2,midpoint,d3b289807cc33acc56d61ca9146dcdf2dfa69911d4f277acb4e2ccf57cf1727f,23.734375
dg_p000_a2,disagreement_gate,5517e4c326e9d0e4e386dbdf516d26462a353a34e39769e48a53939749c34d6d,15.9296875
dg_p000_a3,base,5517e4c326e9d0e4e386dbdf516d26462a353a34e39769e48a53939749c34d6d,15.9296875
dg_p000_a3,parm_fixed,ed18ffd5900d00298527e1bc2fca67c1a92f8659a387d4af34359b8b99e0b463,18.9375
dg_p000_a3,midpoint,e2e74c74b458f8b7791f3cb4a8ccc3cbc1a1b4146c8e654ac8eac4f48b64571d,20.25
dg_p000_a3,disagreement_gate,5517e4c326e9d0e4e386dbdf516d26462a353a34e39769e48a53939749c34d6d,15.9296875
dg_p000_a4,base,5517e4c326e9d0e4e386dbdf516d26462a353a34e39769e48a53939749c34d6d,15.9296875
dg_p000_a4,parm_fixed,68b939a39d53b892e324074f306ef79eea7c5b772b1905967fe0e203b3246291,20.125
dg_p000_a4,midpoint,46dceb78f94879b623068f1f76f92b75f4baee361999a44bff43976044aa8646,12.9453125
dg_p000_a4,disagreement_gate,5517e4c326e9d0e4e386dbdf516d26462a353a34e39769e48a53939749c34d6d,15.9296875
dg_p001_a0,base,30a1ccc0d4bac448bf8f878adba00fe7755e01575b56b01f9bcd135ebb7951d1,-14.2109375
dg_p001_a0,parm_fixed,e18940769d383f31b519e03e61d4348a95600dcb8b4ec155517bcf3d6dd27af0,-2.947265625
dg_p001_a0,midpoint,a95c71b543c6d675dbfbfd8589144cc2c69082f27e33bda0f6c55ac404615015,-14.015625
dg_p001_a0,disagreement_gate,30a1ccc0d4bac448bf8f878adba00fe7755e01575b56b01f9bcd135ebb7951d1,-14.2109375
dg_p001_a1,base,30a1ccc0d4bac448bf8f878adba00fe7755e01575b56b01f9bcd135ebb7951d1,-14.2109375
dg_p001_a1,parm_fixed,d864ab3cecd1d693312028803525c410a6fc25210964cc5ea3c81cb8042cfdf3,-1.5107421875
dg_p001_a1,midpoint,1a3c95082c43ce5fe46a2bc1048c0bd9ebd23756f8baa7cf339c1562cdc43f92,-5.52734375
dg_p001_a1,disagreement_gate,30a1ccc0d4bac448bf8f878adba00fe7755e01575b56b01f9bcd135ebb7951d1,-14.2109375
dg_p001_a2,base,30a1ccc0d4bac448bf8f878adba00fe7755e01575b56b01f9bcd135ebb7951d1,-14.2109375
dg_p001_a2,parm_fixed,b4b36ee41f1f52081141fbb1b8e972a5d7b357921fdf0e50eb01f24ea510292d,-8.46875
dg_p001_a2,midpoint,1a3c95082c43ce5fe46a2bc1048c0bd9ebd23756f8baa7cf339c1562cdc43f92,-5.52734375
dg_p001_a2,disagreement_gate,30a1ccc0d4bac448bf8f878adba00fe7755e01575b56b01f9bcd135ebb7951d1,-14.2109375
dg_p001_a3,base,30a1ccc0d4bac448bf8f878adba00fe7755e01575b56b01f9bcd135ebb7951d1,-14.2109375
dg_p001_a3,parm_fixed,b4b36ee41f1f52081141fbb1b8e972a5d7b357921fdf0e50eb01f24ea510292d,-8.46875
dg_p001_a3,midpoint,1a3c95082c43ce5fe46a2bc1048c0bd9ebd23756f8baa7cf339c1562cdc43f92,-5.52734375
dg_p001_a3,disagreement_gate,30a1ccc0d4bac448bf8f878adba00fe7755e01575b56b01f9bcd135ebb7951d1,-14.2109375
dg_p001_a4,base,30a1ccc0d4bac448bf8f878adba00fe7755e01575b56b01f9bcd135ebb7951d1,-14.2109375
dg_p001_a4,parm_fixed,1a3c95082c43ce5fe46a2bc1048c0bd9ebd23756f8baa7cf339c1562cdc43f92,-5.52734375
dg_p001_a4,midpoint,1a3c95082c43ce5fe46a2bc1048c0bd9ebd23756f8baa7cf339c1562cdc43f92,-5.52734375
dg_p001_a4,disagreement_gate,30a1ccc0d4bac448bf8f878adba00fe7755e01575b56b01f9bcd135ebb7951d1,-14.2109375
dg_p002_a0,base,af9cb6ecf86b8b08a4a85870177dadf9cbbd40295b15121cb0c9405ca512e655,-10.828125
dg_p002_a0,parm_fixed,92c81a389174ba1aae4d59a9ca60549fc538ab15aac3b3433bb055bcf21462fe,-9.1484375
dg_p002_a0,midpoint,8fad5db845f38a02fbc712e7c5b57e28d0741e6d70616311d31135e63abcd45c,-7.296875
dg_p002_a0,disagreement_gate,af9cb6ecf86b8b08a4a85870177dadf9cbbd40295b15121cb0c9405ca512e655,-10.828125
dg_p002_a1,base,af9cb6ecf86b8b08a4a85870177dadf9cbbd40295b15121cb0c9405ca512e655,-10.828125
dg_p002_a1,parm_fixed,e508b055718a7fdf19d8a3ab131a2b88e03cbe74b0f194123d9f0c5ece94bd7f,-5.96484375
dg_p002_a1,midpoint,ed7435898c3e17c6c12c60ca3dbf60cbc1e8d68f69ef49fd0e8d7a19b85c8acd,-9.390625
dg_p002_a1,disagreement_gate,af9cb6ecf86b8b08a4a85870177dadf9cbbd40295b15121cb0c9405ca512e655,-10.828125
dg_p002_a2,base,af9cb6ecf86b8b08a4a85870177dadf9cbbd40295b15121cb0c9405ca512e655,-10.828125
dg_p002_a2,parm_fixed,a1c26bcfae2b436b490ad3ee13d9fe6f7c26064e4b44a614008320ec759623a9,-9.859375
dg_p002_a2,midpoint,a6600e84e19983b2192078c03492a92631ecfc0db0ce6e1c01c21ffef9e295dc,-9.328125
dg_p002_a2,disagreement_gate,af9cb6ecf86b8b08a4a85870177dadf9cbbd40295b15121cb0c9405ca512e655,-10.828125
dg_p002_a3,base,af9cb6ecf86b8b08a4a85870177dadf9cbbd40295b15121cb0c9405ca512e655,-10.828125
dg_p002_a3,parm_fixed,49ba3aa4e3aff71679bcab55a0e7d68f3901214b53ac784b831248d3e2786a59,-9.328125
dg_p002_a3,midpoint,a833213e1912f2a64c06727c5eb8b9357139715d955049cbed24620e3ba869c5,-8.625
dg_p002_a3,disagreement_gate,af9cb6ecf86b8b08a4a85870177dadf9cbbd40295b15121cb0c9405ca512e655,-10.828125
dg_p002_a4,base,af9cb6ecf86b8b08a4a85870177dadf9cbbd40295b15121cb0c9405ca512e655,-10.828125
dg_p002_a4,parm_fixed,01feb3fc78ebb6bd72ae19566f1c7b274dd3e05bddea15bd97a6989ee5922e1c,-10.1015625
dg_p002_a4,midpoint,39dd8166766bbc4de5cce69001666e449b0518806bd361d4e8609d4f6db5c565,-10.4375
dg_p002_a4,disagreement_gate,af9cb6ecf86b8b08a4a85870177dadf9cbbd40295b15121cb0c9405ca512e655,-10.828125
dg_p003_a0,base,2be064862fa879a1f97846c83051d528ed488b01332c1a205c1802182c460f26,-8.0546875
dg_p003_a0,parm_fixed,a068825bfd2add29d3d49efff32253f498267bc02209867d2fd20758c05d191b,1.494140625
dg_p003_a0,midpoint,286fb1d54c5407a51dd77bebf002723950743acd60f46920fcc5436d27514fb8,-8.84375
dg_p003_a0,disagreement_gate,2be064862fa879a1f97846c83051d528ed488b01332c1a205c1802182c460f26,-8.0546875
dg_p003_a1,base,2be064862fa879a1f97846c83051d528ed488b01332c1a205c1802182c460f26,-8.0546875
dg_p003_a1,parm_fixed,f37021f9101c3b8b1da1eb3a8e07babd09720cc80b55b62be1da3260d39aa5da,19.046875
dg_p003_a1,midpoint,0c12ad9daa5a788769d97b108268e1bde001f82bc8839f3060da89798d5a44cd,-11.671875
dg_p003_a1,disagreement_gate,2be064862fa879a1f97846c83051d528ed488b01332c1a205c1802182c460f26,-8.0546875
dg_p003_a2,base,2be064862fa879a1f97846c83051d528ed488b01332c1a205c1802182c460f26,-8.0546875
dg_p003_a2,parm_fixed,f37021f9101c3b8b1da1eb3a8e07babd09720cc80b55b62be1da3260d39aa5da,19.046875
dg_p003_a2,midpoint,254953889760a613943838e2247b54b36290fdd73ea53f17f6a9ab81b8d09f74,-10.7421875
dg_p003_a2,disagreement_gate,2be064862fa879a1f97846c83051d528ed488b01332c1a205c1802182c460f26,-8.0546875
dg_p003_a3,base,2be064862fa879a1f97846c83051d528ed488b01332c1a205c1802182c460f26,-8.0546875
dg_p003_a3,parm_fixed,e284cd1620cb6058a62ee99defc29f2a156ba99d2d1d6c4e459988fb115a5495,-6.640625
dg_p003_a3,midpoint,174e722cc53b8316e21efd6cf1b3b0ad6e5f3812e64885711035af173846602b,-2.6484375
dg_p003_a3,disagreement_gate,2be064862fa879a1f97846c83051d528ed488b01332c1a205c1802182c460f26,-8.0546875
dg_p003_a4,base,2be064862fa879a1f97846c83051d528ed488b01332c1a205c1802182c460f26,-8.0546875
