alignment_success,coherence,distinct_1,distinct_2,distinct_3,failure_status,generation_length,latency_per_token,legacy_method,method,method_family,perplexity,ppl_degradation,ppl_model_family,ppl_protocol,prompt_id,prompt_sentiment_class,repeated_bigram_rate,repeated_trigram_rate,repeated_unigram_rate,seed,source,target_probability,total_latency
0,0.5789473684210527,0.6333333333333333,0.7931034482758621,0.8571428571428571,success,32,0.034938088658236666,base_lm,v1_base,v1_rad_scalar_reward,9.28607177734375,0.0,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,42efafbd03db17536379fba979bb820f,neutral,0.2068965517241379,0.1428571428571429,0.3666666666666667,1,read_only_v1_output,0.0005463496199809015,1.1180188370635733
1,0.6086956521739131,0.7666666666666667,0.9655172413793104,1.0,success,32,0.03218052712327335,best_fixed_beta,v1_fixed,v1_rad_scalar_reward,11.466768264770508,0.23483519616413506,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,42efafbd03db17536379fba979bb820f,neutral,0.03448275862068961,0.0,0.23333333333333328,1,read_only_v1_output,0.9989020824432373,1.0297768679447472
1,0.6190476190476191,0.8076923076923077,1.0,1.0,success,32,0.025635139656515094,best_heuristic,v1_heuristic,v1_rad_scalar_reward,10.835334777832031,0.1668372846598266,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,42efafbd03db17536379fba979bb820f,neutral,0.0,0.0,0.1923076923076923,1,read_only_v1_output,0.9989325404167175,0.820324469008483
1,0.6764705882352942,0.6071428571428571,0.7777777777777778,0.8461538461538461,success,32,0.01731954518618295,learned_router,v1_router,v1_rad_scalar_reward,9.213807106018066,-0.007782049617793786,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,42efafbd03db17536379fba979bb820f,neutral,0.2222222222222222,0.15384615384615385,0.3928571428571429,1,read_only_v1_output,0.998869001865387,0.5542254459578544
1,0.6111111111111112,0.6,0.7586206896551724,0.8214285714285714,success,32,0.040386027001659386,base_lm,v1_base,v1_rad_scalar_reward,4.855335235595703,0.0,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,479c43bdfef15b99e19751f52bcc0a9b,positive,0.24137931034482762,0.1785714285714286,0.4,1,read_only_v1_output,0.9985604882240295,1.2923528640531003
1,0.6,0.6896551724137931,0.8214285714285714,0.8888888888888888,success,32,0.03738543684448814,best_fixed_beta,v1_fixed,v1_rad_scalar_reward,4.399299621582031,-0.09392463998579506,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,479c43bdfef15b99e19751f52bcc0a9b,positive,0.1785714285714286,0.11111111111111116,0.31034482758620685,1,read_only_v1_output,0.9988740086555481,1.1963339790236205
1,0.6,0.6896551724137931,0.8214285714285714,0.8888888888888888,success,32,0.03714362187383813,best_heuristic,v1_heuristic,v1_rad_scalar_reward,4.399299621582031,-0.09392463998579506,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,479c43bdfef15b99e19751f52bcc0a9b,positive,0.1785714285714286,0.11111111111111116,0.31034482758620685,1,read_only_v1_output,0.9988740086555481,1.1885958999628201
1,0.6,0.6896551724137931,0.8214285714285714,0.8888888888888888,success,32,0.03695921818507486,learned_router,v1_router,v1_rad_scalar_reward,4.399299621582031,-0.09392463998579506,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,479c43bdfef15b99e19751f52bcc0a9b,positive,0.1785714285714286,0.11111111111111116,0.31034482758620685,1,read_only_v1_output,0.9988740086555481,1.1826949819223955
0,0.5909090909090909,0.8148148148148148,1.0,1.0,success,32,0.0338770748458046,base_lm,v1_base,v1_rad_scalar_reward,8.930327415466309,0.0,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,5f68c8a4fb4d4c45a8ce98c6f04232ce,negative,0.0,0.0,0.18518518518518523,1,read_only_v1_output,0.0059530180878937244,1.0840663950657472
1,0.5952380952380952,0.8076923076923077,1.0,1.0,success,32,0.03748144596829661,best_fixed_beta,v1_fixed,v1_rad_scalar_reward,10.941666603088379,0.22522569375660967,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,5f68c8a4fb4d4c45a8ce98c6f04232ce,negative,0.0,0.0,0.1923076923076923,1,read_only_v1_output,0.9987980127334595,1.1994062709854916
0,0.6176470588235294,0.68,0.9166666666666666,1.0,success,32,0.019405774561164435,best_heuristic,v1_heuristic,v1_rad_scalar_reward,7.5642828941345215,-0.15296690230707038,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,5f68c8a4fb4d4c45a8ce98c6f04232ce,negative,0.08333333333333337,0.0,0.31999999999999995,1,read_only_v1_output,0.006226034834980965,0.6209847859572619
0,0.631578947368421,0.7916666666666666,0.9565217391304348,1.0,success,32,0.038952501345193014,learned_router,v1_router,v1_rad_scalar_reward,10.481474876403809,0.17369435506374487,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,5f68c8a4fb4d4c45a8ce98c6f04232ce,negative,0.04347826086956519,0.0,0.20833333333333337,1,read_only_v1_output,0.001370048034004867,1.2464800430461764
