case_id,response_key,cost_score
dense_p00_a00,029b5ddc3e0c08d4d7a6a5fd4d902fc425b1e15dd61edd27bf9588acad67f1ae,12.84375
dense_p00_a01,029b5ddc3e0c08d4d7a6a5fd4d902fc425b1e15dd61edd27bf9588acad67f1ae,12.84375
dense_p00_a02,029b5ddc3e0c08d4d7a6a5fd4d902fc425b1e15dd61edd27bf9588acad67f1ae,12.84375
dense_p00_a03,029b5ddc3e0c08d4d7a6a5fd4d902fc425b1e15dd61edd27bf9588acad67f1ae,12.84375
dense_p00_a04,029b5ddc3e0c08d4d7a6a5fd4d902fc425b1e15dd61edd27bf9588acad67f1ae,12.84375
dense_p00_a05,ac7ca670a4df84376b9cb2a13abebfbdb280016c95e52996748419c0d0ea7786,15.8515625
dense_p00_a06,ac7ca670a4df84376b9cb2a13abebfbdb280016c95e52996748419c0d0ea7786,15.8515625
dense_p00_a07,ac7ca670a4df84376b9cb2a13abebfbdb280016c95e52996748419c0d0ea7786,15.8515625
dense_p00_a08,ef9a40e5fcf5bec33406deca984efca0457b6ec2e386aa15f1b3e7a454b3d2f1,22.765625
dense_p00_a09,ef9a40e5fcf5bec33406deca984efca0457b6ec2e386aa15f1b3e7a454b3d2f1,22.765625
dense_p00_a10,ef9a40e5fcf5bec33406deca984efca0457b6ec2e386aa15f1b3e7a454b3d2f1,22.765625
dense_p00_a11,ef9a40e5fcf5bec33406deca984efca0457b6ec2e386aa15f1b3e7a454b3d2f1,22.765625
dense_p00_a12,ef9a40e5fcf5bec33406deca984efca0457b6ec2e386aa15f1b3e7a454b3d2f1,22.765625
dense_p00_a13,ef9a40e5fcf5bec33406deca984efca0457b6ec2e386aa15f1b3e7a454b3d2f1,22.765625
dense_p00_a14,ef9a40e5fcf5bec33406deca984efca0457b6ec2e386aa15f1b3e7a454b3d2f1,22.765625
dense_p00_a15,35c28d9e838bb43c925433ffa6be060970bb8a619b70db818aef57ab13505c44,19.0
dense_p00_a16,45a200f9cd5cd893909650ddb2363d1db6357039fd8329983076e90cd7249869,8.2734375
dense_p00_a17,45a200f9cd5cd893909650ddb2363d1db6357039fd8329983076e90cd7249869,8.2734375
dense_p00_a18,45a200f9cd5cd893909650ddb2363d1db6357039fd8329983076e90cd7249869,8.2734375
dense_p00_a19,45a200f9cd5cd893909650ddb2363d1db6357039fd8329983076e90cd7249869,8.2734375
dense_p00_a20,82796d7bd231380548cf6a1795c50ca262317f05bbf8504a89f412cf6cc0aab3,24.234375
dense_p01_a00,f011955be4f71e50224a97a3e66b801507fb79b4b23cc10979b54fd78a4e7641,32.25
dense_p01_a01,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a02,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a03,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a04,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a05,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a06,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a07,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a08,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a09,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a10,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a11,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a12,8684a04c4debaf414c01f34daf801b715932ef3e099bfe2501f76674169ce36b,20.0625
dense_p01_a13,b8ca59c69e5f53a2721dc9b8ea908fb6d1cde2189638e10da16e3f956fdb0803,28.484375
dense_p01_a14,30a39302ccc39a5a935aeeef810ccb1b36a8c46829325537e9fb84aa7fc94e0e,32.96875
dense_p01_a15,dd5aff5e352f97a3e9474b67f67489f49c4126a3c2d91b1f4c4bfe064c204287,36.40625
dense_p01_a16,dd5aff5e352f97a3e9474b67f67489f49c4126a3c2d91b1f4c4bfe064c204287,36.40625
